Record_ID,Date,Time,Shift,HX_ID,Operator_ID,Hot_Fluid,Hot_Inlet_Temp_C,Hot_Outlet_Temp_C,Hot_Pressure_bar,Hot_Flow_Rate_kg_hr,Cold_Fluid,Cold_Inlet_Temp_C,Cold_Outlet_Temp_C,Cold_Pressure_bar,Cold_Flow_Rate_kg_hr,Heat_Duty_kW,LMTD_C,U_Value_W_m2K,Reynolds_Number,Effectiveness_pct,Thermal_Efficiency_pct,Fouling_Factor_m2K_W,Pressure_Drop_Shell_bar,Pressure_Drop_Tube_bar,Cooling_Water_Makeup_pct,Operating_Hours,Days_Since_Cleaning,Last_Maintenance_Date,Maintenance_Required,Alarm_Count,Sensor_Status,Equipment_Health_Score,Failure_Risk,Ambient_Temp_C,Relative_Humidity_pct,Electricity_Consumption_kWh,Energy_Loss_kW,Failure_Within_7Days
REC-00001,2023-01-01,00:00,A,HX-695-A,OP-010,Propylene,53.7,29.18,16.67,10107.5,Cooling Water,22.4,30.56,3.46,17775.0,168.7,13.33,804.6,3000,78.09,78.19,7.13e-05,0.252,0.466,2.71,256.3,10.68,2022-12-21,No,0,Warning,88.2,Low,20.27,62.9,40.31,1859.7,0
REC-00002,2023-01-01,03:00,A,HX-695-A,OP-003,Propylene,54.19,29.68,15.92,9567.1,Cooling Water,22.05,29.71,3.35,17916.1,159.6,14.45,772.0,3000,76.67,76.48,0.000138,0.281,0.552,1.98,524.9,21.87,2022-12-10,No,0,Normal,71.8,Medium,17.51,56.5,41.59,1868.1,0
REC-00003,2023-01-01,06:00,A,HX-695-A,OP-005,Propylene,53.26,29.78,16.78,10077.7,Cooling Water,22.13,29.99,3.34,17625.6,161.0,14.04,776.1,3000,74.74,74.14,0.0001329,0.269,0.551,2.17,506.8,21.12,2022-12-11,No,0,Warning,73.3,Medium,16.33,58.9,41.43,1870.5,0
REC-00004,2023-01-01,09:00,B,HX-695-A,OP-001,Propylene,53.84,28.49,16.14,9956.3,Cooling Water,21.26,29.41,3.34,18132.7,171.8,14.12,819.7,3000,76.97,76.15,6.15e-05,0.25,0.406,2.45,225.8,9.41,2022-12-22,No,0,Warning,87.9,Low,17.01,63.0,45.26,1856.7,0
REC-00005,2023-01-01,12:00,B,HX-695-A,OP-004,Propylene,54.12,28.89,16.59,9592.0,Cooling Water,21.67,29.96,3.6,17077.0,164.6,14.02,812.0,3000,78.7,77.76,,0.248,0.419,2.31,253.4,10.56,2022-12-21,No,0,Normal,85.1,Low,18.21,64.8,48.21,1866.0,0
REC-00006,2023-01-01,15:00,B,HX-695-A,OP-012,Propylene,57.19,31.14,16.26,9909.7,Cooling Water,24.16,32.46,3.38,18219.1,175.7,14.03,830.2,11760,77.6,77.89,3.3e-05,0.223,0.372,2.35,148.7,6.2,2022-12-26,No,0,Normal,89.4,Low,16.76,63.8,41.53,1854.4,0
REC-00007,2023-01-01,18:00,C,HX-695-A,OP-003,Propylene,52.84,31.77,16.48,9385.3,Cooling Water,24.23,30.92,3.3,17317.4,134.6,13.48,754.8,3000,73.1,74.48,0.0001568,0.272,0.581,2.27,599.2,24.97,2022-12-07,No,2,Normal,67.2,Medium,18.61,69.4,37.88,1893.7,0
REC-00008,2023-01-01,21:00,C,HX-695-A,OP-011,Propylene,52.04,28.87,16.14,10337.5,Cooling Water,21.89,29.72,3.5,17891.6,163.0,13.2,768.2,3000,76.73,78.56,0.0001433,0.248,0.594,2.01,538.0,22.42,2022-12-10,No,0,Warning,76.6,Low,20.52,61.7,42.06,1866.6,0
REC-00009,2023-01-02,00:00,A,HX-695-A,OP-009,Propylene,,29.77,16.44,9492.6,Cooling Water,21.55,29.64,3.3,17632.9,166.0,15.38,778.1,3000,75.55,75.26,0.0001104,0.285,0.521,2.03,447.8,18.66,2022-12-14,No,0,Normal,79.2,Low,19.62,50.0,43.26,1864.3,0
REC-00010,2023-01-02,03:00,A,HX-695-A,OP-006,Propylene,52.83,31.11,15.8,9910.5,Cooling Water,22.88,29.72,3.18,18402.9,146.5,14.41,758.7,3000,71.89,72.36,0.0001491,0.27,0.532,2.77,629.6,26.23,2022-12-06,No,0,Warning,78.7,Low,21.35,56.0,38.36,1879.2,0
REC-00011,2023-01-02,06:00,A,HX-695-A,OP-006,Propylene,53.4,30.43,16.91,10072.1,Cooling Water,22.03,29.54,3.42,18017.4,157.4,14.81,757.1,3000,73.05,72.97,0.0001555,0.284,0.551,2.25,644.8,26.87,2022-12-06,No,0,Normal,71.1,Medium,18.2,62.0,42.78,1872.3,0
REC-00012,2023-01-02,09:00,B,HX-695-A,OP-003,Propylene,54.77,29.55,16.38,10216.9,Cooling Water,22.02,30.43,3.38,17931.4,175.4,14.32,785.2,3000,76.35,77.47,0.0001001,0.256,0.498,2.01,402.8,16.78,2022-12-16,No,0,Normal,80.4,Low,21.65,68.1,48.39,1854.7,0
REC-00013,2023-01-02,12:00,B,HX-695-A,OP-003,Propylene,53.47,,16.68,9263.1,Cooling Water,22.48,29.43,3.66,18231.9,147.4,14.29,792.2,3000,76.2,75.08,0.0001162,0.284,0.565,2.24,442.7,18.45,2022-12-15,No,0,Normal,76.3,Low,19.13,58.4,41.39,1884.7,0
REC-00014,2023-01-02,15:00,B,HX-695-A,OP-009,Propylene,53.89,29.72,16.01,10055.8,Cooling Water,21.77,30.13,3.3,,165.5,14.44,779.3,3000,75.64,76.77,0.0001387,0.269,0.514,2.22,527.6,21.98,2022-12-11,No,0,Normal,74.6,Medium,19.82,59.3,45.13,1867.6,0
REC-00015,2023-01-02,18:00,C,HX-695-A,OP-002,Propylene,54.59,31.14,16.15,9246.4,Cooling Water,23.37,30.21,3.38,18538.0,147.6,14.52,777.5,3000,75.75,75.93,0.0001293,0.271,0.538,2.07,521.8,21.74,2022-12-12,No,0,Normal,75.1,Low,19.3,68.4,,1883.2,0
REC-00016,2023-01-02,21:00,C,HX-695-A,OP-009,Propylene,54.89,31.35,15.86,10099.9,Cooling Water,23.97,31.61,3.21,18220.9,161.7,13.84,789.6,3000,77.09,74.12,0.0001166,0.287,0.517,1.62,452.6,18.86,2022-12-15,No,1,Normal,72.6,Medium,17.57,61.3,44.34,1865.5,0
REC-00017,2023-01-03,00:00,A,HX-695-A,OP-012,Propylene,54.85,30.36,16.45,10066.0,Cooling Water,21.77,29.83,3.52,17914.6,167.7,15.37,750.3,3000,74.53,74.23,0.0001714,0.275,0.606,1.56,670.1,27.92,2022-12-06,No,1,Normal,67.6,Medium,18.83,57.6,36.93,1858.0,0
REC-00018,2023-01-03,03:00,A,HX-695-A,OP-012,Propylene,53.05,28.67,16.08,9832.2,Cooling Water,21.68,29.76,3.47,17381.3,163.1,13.54,833.3,10566,78.22,77.38,4.91e-05,0.245,0.377,2.0,195.1,8.13,2022-12-25,No,0,Normal,89.3,Low,20.28,66.6,45.96,1861.0,0
REC-00019,2023-01-03,06:00,A,HX-695-A,OP-012,Propylene,51.64,30.17,17.33,10262.2,Cooling Water,22.95,30.27,3.41,17628.6,149.9,13.04,768.1,3000,75.08,75.96,0.0001428,0.309,0.56,2.18,555.8,23.16,2022-12-11,No,0,Normal,72.9,Medium,17.84,62.1,39.33,1882.9,0
REC-00020,2023-01-03,09:00,B,HX-695-A,OP-005,Propylene,52.46,29.07,16.04,10478.0,Cooling Water,21.76,29.57,3.4,18353.0,166.8,13.65,794.3,3000,76.28,75.89,9.34e-05,0.274,0.471,2.86,367.2,15.3,2022-12-19,No,1,Normal,80.4,Low,16.53,49.6,48.2,1863.5,0
REC-00021,2023-01-03,12:00,B,HX-695-A,OP-010,Propylene,54.73,29.79,16.86,9928.3,Cooling Water,21.64,29.85,3.29,17656.9,168.5,14.99,754.5,3000,75.18,73.55,0.000174,0.308,0.549,1.71,682.4,28.43,2022-12-06,No,1,Normal,,Medium,17.66,62.1,40.7,1852.2,0
REC-00022,2023-01-03,15:00,B,HX-695-A,OP-009,Propylene,55.44,30.96,17.08,10033.9,Cooling Water,23.67,31.9,3.42,17455.8,167.2,13.86,821.8,3407,77.86,76.17,5.7e-05,0.231,0.472,2.13,189.4,7.89,2022-12-26,No,0,Warning,88.3,Low,18.34,60.4,40.84,1867.1,0
REC-00023,2023-01-03,18:00,C,HX-695-A,OP-004,Propylene,52.68,29.58,16.77,9524.7,Cooling Water,21.68,29.27,3.46,16956.8,149.7,14.28,759.2,3000,74.42,74.27,0.0001299,0.28,0.502,2.28,480.1,20.0,2022-12-14,No,0,Normal,74.8,Medium,16.56,63.1,50.79,1880.8,0
